entry_time,exit_time,strike,option_type,entry_price,exit_price,pnl
2023-03-20 15:27:00+05:30,2023-03-20 15:28:00+05:30,17000.0,CE,600.0,600.0,0.0
2023-03-21 10:53:00+05:30,2023-03-21 15:15:00+05:30,17000.0,CE,600.0,600.0,0.0
2023-03-22 09:33:00+05:30,2023-03-22 15:15:00+05:30,17300.0,CE,602.85,602.85,0.0
2023-03-23 10:14:00+05:30,2023-03-23 15:15:00+05:30,17000.0,CE,600.0,600.0,0.0
2023-03-24 12:09:00+05:30,2023-03-24 12:36:00+05:30,17100.0,CE,813.0,1065.4,25240.000000000007
2023-03-24 14:33:00+05:30,2023-03-24 14:36:00+05:30,17000.0,PE,130.0,91.65,3834.9999999999995
2023-03-24 15:17:00+05:30,2023-03-24 15:18:00+05:30,16950.0,PE,91.65,91.65,0.0
2023-03-27 14:37:00+05:30,2023-03-27 14:40:00+05:30,17050.0,CE,1065.4,813.0,-25240.000000000007
2023-03-27 15:28:00+05:30,2023-03-27 15:29:00+05:30,16950.0,PE,91.65,130.0,-3834.9999999999995
2023-03-28 10:48:00+05:30,2023-03-28 11:44:00+05:30,16950.0,PE,91.65,130.0,-3834.9999999999995
2023-03-29 09:54:00+05:30,2023-03-29 10:02:00+05:30,17000.0,CE,1450.0,1065.4,-38459.99999999999
2023-03-29 11:25:00+05:30,2023-03-29 11:28:00+05:30,17000.0,PE,130.0,91.65,3834.9999999999995
2023-03-29 11:47:00+05:30,2023-03-29 11:52:00+05:30,16950.0,PE,91.65,130.0,-3834.9999999999995
2023-03-29 14:17:00+05:30,2023-03-29 14:26:00+05:30,17050.0,CE,1065.4,1450.0,38459.99999999999
2023-04-21 09:33:00+05:30,2023-04-21 13:05:00+05:30,17650.0,CE,644.55,921.95,27740.000000000007
2023-04-24 12:58:00+05:30,2023-04-24 15:15:00+05:30,17650.0,CE,644.55,650.9,635.0000000000023
2023-04-24 15:27:00+05:30,2023-04-24 15:28:00+05:30,17750.0,CE,650.9,650.9,0.0
2023-04-26 15:24:00+05:30,2023-04-26 15:25:00+05:30,17800.0,CE,651.25,651.25,0.0
2023-04-27 15:30:00+05:30,2023-04-28 09:25:00+05:30,17950.0,CE,487.8,450.0,-3780.000000000001
2023-05-19 10:05:00+05:30,2023-05-19 15:15:00+05:30,18000.0,PE,520.0,520.0,0.0
2023-05-22 09:47:00+05:30,2023-05-22 10:08:00+05:30,18500.0,CE,144.0,305.0,16100.0
2023-05-22 14:27:00+05:30,2023-05-22 15:15:00+05:30,18500.0,CE,144.0,144.0,0.0
2023-05-23 09:41:00+05:30,2023-05-23 15:15:00+05:30,18500.0,CE,144.0,144.0,0.0
2023-05-24 10:47:00+05:30,2023-05-24 15:15:00+05:30,18500.0,CE,144.0,144.0,0.0
2023-05-25 15:26:00+05:30,2023-05-25 15:27:00+05:30,18500.0,CE,144.0,144.0,0.0
2023-05-25 15:30:00+05:30,2023-05-26 15:15:00+05:30,18500.0,CE,144.0,144.0,0.0
2023-09-22 10:56:00+05:30,2023-09-22 15:15:00+05:30,20000.0,CE,345.0,345.0,0.0
2023-09-25 12:11:00+05:30,2023-09-25 15:15:00+05:30,20000.0,CE,345.0,345.0,0.0
2023-09-26 13:04:00+05:30,2023-09-26 15:15:00+05:30,20000.0,PE,1489.0,1489.0,0.0
2023-09-27 10:23:00+05:30,2023-09-27 15:15:00+05:30,20000.0,PE,1489.0,1489.0,0.0
2023-09-28 11:25:00+05:30,2023-09-28 15:15:00+05:30,20000.0,PE,1489.0,1489.0,0.0
2023-12-27 09:54:00+05:30,2023-12-27 15:15:00+05:30,22000.0,CE,90.0,90.0,0.0
2023-12-27 15:22:00+05:30,2023-12-27 15:23:00+05:30,22000.0,CE,90.0,90.0,0.0
2023-12-28 09:33:00+05:30,2023-12-28 15:15:00+05:30,22000.0,CE,90.0,90.0,0.0
